# Assembly name:  EquCab3.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA421018
# Submitter:      University of Louisville
# Date:           2018-01-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PJAA01
# Assembly method: Celera Assembler v. 2017; HiRise v. 2017
# Expected final version: yes
# Genome coverage: 88.0x
# Sequencing technology: Sanger; Illumina HiSeq; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002863925.1
# RefSeq assembly accession: GCF_002863925.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002863935.1	GCF_002863935.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig6672	unplaced-scaffold	na	na	PJAA01002407.1	=	NW_019645352.1	Primary Assembly	7322	na
Contig6673	unplaced-scaffold	na	na	PJAA01002408.1	=	NW_019645354.1	Primary Assembly	5302	na
Contig6674	unplaced-scaffold	na	na	PJAA01002409.1	=	NW_019645356.1	Primary Assembly	5388	na
Contig6675	unplaced-scaffold	na	na	PJAA01002410.1	=	NW_019645357.1	Primary Assembly	5830	na
Contig6678	unplaced-scaffold	na	na	PJAA01002411.1	=	NW_019645358.1	Primary Assembly	5958	na
Contig6679	unplaced-scaffold	na	na	PJAA01002412.1	=	NW_019645359.1	Primary Assembly	13191	na
Contig6680	unplaced-scaffold	na	na	PJAA01002413.1	=	NW_019645360.1	Primary Assembly	15204	na
Contig6681	unplaced-scaffold	na	na	PJAA01002414.1	=	NW_019645361.1	Primary Assembly	5595	na
Contig6682	unplaced-scaffold	na	na	PJAA01002415.1	=	NW_019645362.1	Primary Assembly	5583	na
Contig6683	unplaced-scaffold	na	na	PJAA01002416.1	=	NW_019645363.1	Primary Assembly	5917	na
Contig6684	unplaced-scaffold	na	na	PJAA01002417.1	=	NW_019645364.1	Primary Assembly	5952	na
Contig6686	unplaced-scaffold	na	na	PJAA01002418.1	=	NW_019645365.1	Primary Assembly	5696	na
Contig6687	unplaced-scaffold	na	na	PJAA01002419.1	=	NW_019645366.1	Primary Assembly	14619	na
Contig6688	unplaced-scaffold	na	na	PJAA01002420.1	=	NW_019645367.1	Primary Assembly	5563	na
Contig6689	unplaced-scaffold	na	na	PJAA01002421.1	=	NW_019645368.1	Primary Assembly	60045	na
Contig6690	unplaced-scaffold	na	na	PJAA01002422.1	=	NW_019645369.1	Primary Assembly	41606	na
Contig6691	unplaced-scaffold	na	na	PJAA01002423.1	=	NW_019645370.1	Primary Assembly	26869	na
Contig6692	unplaced-scaffold	na	na	PJAA01002424.1	=	NW_019645371.1	Primary Assembly	6032	na
Contig6693	unplaced-scaffold	na	na	PJAA01002425.1	=	NW_019645372.1	Primary Assembly	6756	na
Contig6695	unplaced-scaffold	na	na	PJAA01002426.1	=	NW_019645374.1	Primary Assembly	8648	na
Contig6696	unplaced-scaffold	na	na	PJAA01002427.1	=	NW_019645376.1	Primary Assembly	7154	na
Contig6697	unplaced-scaffold	na	na	PJAA01002428.1	=	NW_019645377.1	Primary Assembly	5336	na
Contig6698	unplaced-scaffold	na	na	PJAA01002429.1	=	NW_019645378.1	Primary Assembly	5617	na
Contig6699	unplaced-scaffold	na	na	PJAA01002430.1	=	NW_019645379.1	Primary Assembly	24103	na
Contig6700	unplaced-scaffold	na	na	PJAA01002431.1	=	NW_019645381.1	Primary Assembly	28067	na
Contig6701	unplaced-scaffold	na	na	PJAA01002432.1	=	NW_019645382.1	Primary Assembly	5609	na
Contig6702	unplaced-scaffold	na	na	PJAA01002433.1	=	NW_019645383.1	Primary Assembly	5506	na
Contig6703	unplaced-scaffold	na	na	PJAA01002434.1	=	NW_019645384.1	Primary Assembly	5766	na
Contig6704	unplaced-scaffold	na	na	PJAA01002435.1	=	NW_019645385.1	Primary Assembly	5424	na
Contig6705	unplaced-scaffold	na	na	PJAA01002436.1	=	NW_019645386.1	Primary Assembly	5067	na
Contig6706	unplaced-scaffold	na	na	PJAA01002437.1	=	NW_019645388.1	Primary Assembly	6060	na
Contig6707	unplaced-scaffold	na	na	PJAA01002438.1	=	NW_019645390.1	Primary Assembly	10997	na
Contig6708	unplaced-scaffold	na	na	PJAA01002439.1	=	NW_019645391.1	Primary Assembly	6015	na
Contig6709	unplaced-scaffold	na	na	PJAA01002440.1	=	NW_019645392.1	Primary Assembly	7396	na
Contig6710	unplaced-scaffold	na	na	PJAA01002441.1	=	NW_019645393.1	Primary Assembly	5114	na
Contig6711	unplaced-scaffold	na	na	PJAA01002442.1	=	NW_019645394.1	Primary Assembly	5943	na
Contig6712	unplaced-scaffold	na	na	PJAA01002443.1	=	NW_019645395.1	Primary Assembly	7663	na
Contig6713	unplaced-scaffold	na	na	PJAA01002444.1	=	NW_019645396.1	Primary Assembly	5756	na
Contig6714	unplaced-scaffold	na	na	PJAA01002445.1	=	NW_019645397.1	Primary Assembly	6851	na
Contig6716	unplaced-scaffold	na	na	PJAA01002446.1	=	NW_019645399.1	Primary Assembly	8709	na
Contig6717	unplaced-scaffold	na	na	PJAA01002447.1	=	NW_019645400.1	Primary Assembly	6107	na
Contig6718	unplaced-scaffold	na	na	PJAA01002448.1	=	NW_019645402.1	Primary Assembly	6568	na
Contig6719	unplaced-scaffold	na	na	PJAA01002449.1	=	NW_019645403.1	Primary Assembly	5235	na
Contig6720	unplaced-scaffold	na	na	PJAA01002450.1	=	NW_019645404.1	Primary Assembly	9322	na
Contig6721	unplaced-scaffold	na	na	PJAA01002451.1	=	NW_019645405.1	Primary Assembly	9534	na
Contig6722	unplaced-scaffold	na	na	PJAA01002452.1	=	NW_019645406.1	Primary Assembly	5766	na
Contig6723	unplaced-scaffold	na	na	PJAA01002453.1	=	NW_019645407.1	Primary Assembly	5444	na
Contig6724	unplaced-scaffold	na	na	PJAA01002454.1	=	NW_019645408.1	Primary Assembly	5585	na
Contig6725	unplaced-scaffold	na	na	PJAA01002455.1	=	NW_019645409.1	Primary Assembly	5359	na
Contig6726	unplaced-scaffold	na	na	PJAA01002456.1	=	NW_019645412.1	Primary Assembly	5206	na
Contig6727	unplaced-scaffold	na	na	PJAA01002457.1	=	NW_019645413.1	Primary Assembly	6001	na
Contig6728	unplaced-scaffold	na	na	PJAA01002458.1	=	NW_019645414.1	Primary Assembly	12718	na
Contig6729	unplaced-scaffold	na	na	PJAA01002459.1	=	NW_019645415.1	Primary Assembly	6411	na
Contig6731	unplaced-scaffold	na	na	PJAA01002460.1	=	NW_019645416.1	Primary Assembly	5797	na
Contig6732	unplaced-scaffold	na	na	PJAA01002461.1	=	NW_019645417.1	Primary Assembly	5308	na
Contig6733	unplaced-scaffold	na	na	PJAA01002462.1	=	NW_019645418.1	Primary Assembly	5198	na
Contig6734	unplaced-scaffold	na	na	PJAA01002463.1	=	NW_019645420.1	Primary Assembly	5811	na
Contig6737	unplaced-scaffold	na	na	PJAA01002464.1	=	NW_019645421.1	Primary Assembly	5181	na
Contig6738	unplaced-scaffold	na	na	PJAA01002465.1	=	NW_019645422.1	Primary Assembly	5954	na
Contig6739	unplaced-scaffold	na	na	PJAA01002466.1	=	NW_019645424.1	Primary Assembly	4854	na
Contig6740	unplaced-scaffold	na	na	PJAA01002467.1	=	NW_019645425.1	Primary Assembly	8004	na
Contig6743	unplaced-scaffold	na	na	PJAA01002468.1	=	NW_019645426.1	Primary Assembly	5140	na
Contig6744	unplaced-scaffold	na	na	PJAA01002469.1	=	NW_019645427.1	Primary Assembly	6556	na
Contig6745	unplaced-scaffold	na	na	PJAA01002470.1	=	NW_019645428.1	Primary Assembly	5318	na
Contig6750	unplaced-scaffold	na	na	PJAA01002471.1	=	NW_019645430.1	Primary Assembly	8492	na
Contig6752	unplaced-scaffold	na	na	PJAA01002472.1	=	NW_019645432.1	Primary Assembly	16162	na
Contig6753	unplaced-scaffold	na	na	PJAA01002473.1	=	NW_019645433.1	Primary Assembly	5821	na
Contig6754	unplaced-scaffold	na	na	PJAA01002474.1	=	NW_019645435.1	Primary Assembly	5333	na
Contig6755	unplaced-scaffold	na	na	PJAA01002475.1	=	NW_019645437.1	Primary Assembly	33622	na
Contig6756	unplaced-scaffold	na	na	PJAA01002476.1	=	NW_019645438.1	Primary Assembly	5455	na
Contig6757	unplaced-scaffold	na	na	PJAA01002477.1	=	NW_019645439.1	Primary Assembly	9707	na
Contig6758	unplaced-scaffold	na	na	PJAA01002478.1	=	NW_019645440.1	Primary Assembly	5466	na
Contig6759	unplaced-scaffold	na	na	PJAA01002479.1	=	NW_019645442.1	Primary Assembly	6644	na
Contig6760	unplaced-scaffold	na	na	PJAA01002480.1	=	NW_019645443.1	Primary Assembly	7082	na
Contig6761	unplaced-scaffold	na	na	PJAA01002481.1	=	NW_019645446.1	Primary Assembly	4763	na
Contig6762	unplaced-scaffold	na	na	PJAA01002482.1	=	NW_019645447.1	Primary Assembly	6001	na
Contig6765	unplaced-scaffold	na	na	PJAA01002483.1	=	NW_019645448.1	Primary Assembly	6227	na
Contig6766	unplaced-scaffold	na	na	PJAA01002484.1	=	NW_019645449.1	Primary Assembly	10021	na
Contig6767	unplaced-scaffold	na	na	PJAA01002485.1	=	NW_019645450.1	Primary Assembly	5198	na
Contig6768	unplaced-scaffold	na	na	PJAA01002486.1	=	NW_019645451.1	Primary Assembly	5574	na
Contig6769	unplaced-scaffold	na	na	PJAA01002487.1	=	NW_019645452.1	Primary Assembly	5644	na
Contig6772	unplaced-scaffold	na	na	PJAA01002488.1	=	NW_019645455.1	Primary Assembly	5661	na
Contig6773	unplaced-scaffold	na	na	PJAA01002489.1	=	NW_019645456.1	Primary Assembly	5472	na
Contig6774	unplaced-scaffold	na	na	PJAA01002490.1	=	NW_019645459.1	Primary Assembly	6790	na
Contig6775	unplaced-scaffold	na	na	PJAA01002491.1	=	NW_019645460.1	Primary Assembly	5119	na
Contig6776	unplaced-scaffold	na	na	PJAA01002492.1	=	NW_019645461.1	Primary Assembly	7405	na
Contig6777	unplaced-scaffold	na	na	PJAA01002493.1	=	NW_019645463.1	Primary Assembly	6456	na
Contig6780	unplaced-scaffold	na	na	PJAA01002494.1	=	NW_019645464.1	Primary Assembly	9421	na
Contig6781	unplaced-scaffold	na	na	PJAA01002495.1	=	NW_019645465.1	Primary Assembly	8215	na
Contig6782	unplaced-scaffold	na	na	PJAA01002496.1	=	NW_019645467.1	Primary Assembly	5684	na
Contig6783	unplaced-scaffold	na	na	PJAA01002497.1	=	NW_019645468.1	Primary Assembly	6487	na
Contig6785	unplaced-scaffold	na	na	PJAA01002498.1	=	NW_019645469.1	Primary Assembly	6991	na
Contig6786	unplaced-scaffold	na	na	PJAA01002499.1	=	NW_019645470.1	Primary Assembly	7097	na
Contig6787	unplaced-scaffold	na	na	PJAA01002500.1	=	NW_019645471.1	Primary Assembly	5489	na
Contig6788	unplaced-scaffold	na	na	PJAA01002501.1	=	NW_019645472.1	Primary Assembly	5125	na
Contig6789	unplaced-scaffold	na	na	PJAA01002502.1	=	NW_019645473.1	Primary Assembly	6081	na
Contig6790	unplaced-scaffold	na	na	PJAA01002503.1	=	NW_019645474.1	Primary Assembly	5596	na
Contig6791	unplaced-scaffold	na	na	PJAA01002504.1	=	NW_019645475.1	Primary Assembly	9612	na
Contig6792	unplaced-scaffold	na	na	PJAA01002505.1	=	NW_019645476.1	Primary Assembly	5655	na
Contig6793	unplaced-scaffold	na	na	PJAA01002506.1	=	NW_019645477.1	Primary Assembly	5035	na
Contig6794	unplaced-scaffold	na	na	PJAA01002507.1	=	NW_019645478.1	Primary Assembly	5646	na
Contig6795	unplaced-scaffold	na	na	PJAA01002508.1	=	NW_019645480.1	Primary Assembly	8225	na
Contig6796	unplaced-scaffold	na	na	PJAA01002509.1	=	NW_019645481.1	Primary Assembly	9696	na
Contig6797	unplaced-scaffold	na	na	PJAA01002510.1	=	NW_019645482.1	Primary Assembly	3855	na
Contig6798	unplaced-scaffold	na	na	PJAA01002511.1	=	NW_019645483.1	Primary Assembly	4210	na
Contig6799	unplaced-scaffold	na	na	PJAA01002512.1	=	NW_019645484.1	Primary Assembly	5428	na
Contig6802	unplaced-scaffold	na	na	PJAA01002513.1	=	NW_019645487.1	Primary Assembly	5082	na
Contig6803	unplaced-scaffold	na	na	PJAA01002514.1	=	NW_019645488.1	Primary Assembly	11838	na
Contig6804	unplaced-scaffold	na	na	PJAA01002515.1	=	NW_019645489.1	Primary Assembly	4265	na
Contig6805	unplaced-scaffold	na	na	PJAA01002516.1	=	NW_019645490.1	Primary Assembly	6974	na
Contig6806	unplaced-scaffold	na	na	PJAA01002517.1	=	NW_019645491.1	Primary Assembly	5080	na
Contig6809	unplaced-scaffold	na	na	PJAA01002518.1	=	NW_019645492.1	Primary Assembly	3500	na
Contig6810	unplaced-scaffold	na	na	PJAA01002519.1	=	NW_019645493.1	Primary Assembly	4108	na
Contig6811	unplaced-scaffold	na	na	PJAA01002520.1	=	NW_019645494.1	Primary Assembly	4880	na
Contig6812	unplaced-scaffold	na	na	PJAA01002521.1	=	NW_019645495.1	Primary Assembly	5953	na
Contig6813	unplaced-scaffold	na	na	PJAA01002522.1	=	NW_019645496.1	Primary Assembly	5888	na
Contig6814	unplaced-scaffold	na	na	PJAA01002523.1	=	NW_019645497.1	Primary Assembly	5532	na
Contig6815	unplaced-scaffold	na	na	PJAA01002524.1	=	NW_019645498.1	Primary Assembly	10095	na
Contig6816	unplaced-scaffold	na	na	PJAA01002525.1	=	NW_019645499.1	Primary Assembly	6362	na
Contig6819	unplaced-scaffold	na	na	PJAA01002526.1	=	NW_019645500.1	Primary Assembly	6662	na
Contig6820	unplaced-scaffold	na	na	PJAA01002527.1	=	NW_019645502.1	Primary Assembly	5345	na
Contig6821	unplaced-scaffold	na	na	PJAA01002528.1	=	NW_019645503.1	Primary Assembly	6790	na
Contig6822	unplaced-scaffold	na	na	PJAA01002529.1	=	NW_019645505.1	Primary Assembly	9516	na
Contig6823	unplaced-scaffold	na	na	PJAA01002530.1	=	NW_019645506.1	Primary Assembly	5323	na
Contig6824	unplaced-scaffold	na	na	PJAA01002531.1	=	NW_019645507.1	Primary Assembly	5079	na
Contig6827	unplaced-scaffold	na	na	PJAA01002532.1	=	NW_019645509.1	Primary Assembly	5859	na
Contig6828	unplaced-scaffold	na	na	PJAA01002533.1	=	NW_019645510.1	Primary Assembly	10568	na
Contig6829	unplaced-scaffold	na	na	PJAA01002534.1	=	NW_019645511.1	Primary Assembly	5626	na
Contig6830	unplaced-scaffold	na	na	PJAA01002535.1	=	NW_019645512.1	Primary Assembly	5626	na
Contig6831	unplaced-scaffold	na	na	PJAA01002536.1	=	NW_019645514.1	Primary Assembly	5155	na
Contig6833	unplaced-scaffold	na	na	PJAA01002537.1	=	NW_019645517.1	Primary Assembly	3444	na
Contig6834	unplaced-scaffold	na	na	PJAA01002538.1	=	NW_019645519.1	Primary Assembly	14241	na
Contig6835	unplaced-scaffold	na	na	PJAA01002539.1	=	NW_019645520.1	Primary Assembly	5507	na
Contig6838	unplaced-scaffold	na	na	PJAA01002540.1	=	NW_019645522.1	Primary Assembly	10160	na
Contig6839	unplaced-scaffold	na	na	PJAA01002541.1	=	NW_019645523.1	Primary Assembly	6256	na
Contig6840	unplaced-scaffold	na	na	PJAA01002542.1	=	NW_019645524.1	Primary Assembly	16547	na
Contig6841	unplaced-scaffold	na	na	PJAA01002543.1	=	NW_019645525.1	Primary Assembly	5582	na
Contig6842	unplaced-scaffold	na	na	PJAA01002544.1	=	NW_019645526.1	Primary Assembly	7558	na
Contig6843	unplaced-scaffold	na	na	PJAA01002545.1	=	NW_019645527.1	Primary Assembly	6091	na
Contig6844	unplaced-scaffold	na	na	PJAA01002546.1	=	NW_019645528.1	Primary Assembly	6648	na
Contig6845	unplaced-scaffold	na	na	PJAA01002547.1	=	NW_019645529.1	Primary Assembly	5498	na
Contig6846	unplaced-scaffold	na	na	PJAA01002548.1	=	NW_019645530.1	Primary Assembly	35357	na
Contig6847	unplaced-scaffold	na	na	PJAA01002549.1	=	NW_019645532.1	Primary Assembly	12882	na
Contig6848	unplaced-scaffold	na	na	PJAA01002550.1	=	NW_019645533.1	Primary Assembly	5857	na
Contig6851	unplaced-scaffold	na	na	PJAA01002551.1	=	NW_019645536.1	Primary Assembly	6084	na
Contig6852	unplaced-scaffold	na	na	PJAA01002552.1	=	NW_019645537.1	Primary Assembly	5764	na
Contig6853	unplaced-scaffold	na	na	PJAA01002553.1	=	NW_019645538.1	Primary Assembly	5336	na
Contig6854	unplaced-scaffold	na	na	PJAA01002554.1	=	NW_019645540.1	Primary Assembly	5442	na
Contig6855	unplaced-scaffold	na	na	PJAA01002555.1	=	NW_019645541.1	Primary Assembly	5841	na
Contig6856	unplaced-scaffold	na	na	PJAA01002556.1	=	NW_019645542.1	Primary Assembly	16162	na
Contig6859	unplaced-scaffold	na	na	PJAA01002557.1	=	NW_019645543.1	Primary Assembly	15370	na
Contig6863	unplaced-scaffold	na	na	PJAA01002558.1	=	NW_019645544.1	Primary Assembly	3090	na
Contig6866	unplaced-scaffold	na	na	PJAA01002559.1	=	NW_019645545.1	Primary Assembly	5876	na
Contig6867	unplaced-scaffold	na	na	PJAA01002560.1	=	NW_019645546.1	Primary Assembly	6305	na
Contig6868	unplaced-scaffold	na	na	PJAA01002561.1	=	NW_019645547.1	Primary Assembly	4502	na
Contig6869	unplaced-scaffold	na	na	PJAA01002562.1	=	NW_019645548.1	Primary Assembly	5337	na
Contig6870	unplaced-scaffold	na	na	PJAA01002563.1	=	NW_019645549.1	Primary Assembly	5671	na
Contig6875	unplaced-scaffold	na	na	PJAA01002564.1	=	NW_019645551.1	Primary Assembly	5812	na
Contig6876	unplaced-scaffold	na	na	PJAA01002565.1	=	NW_019645552.1	Primary Assembly	5366	na
Contig6877	unplaced-scaffold	na	na	PJAA01002566.1	=	NW_019645554.1	Primary Assembly	6592	na
Contig6878	unplaced-scaffold	na	na	PJAA01002567.1	=	NW_019645555.1	Primary Assembly	5769	na
Contig6879	unplaced-scaffold	na	na	PJAA01002568.1	=	NW_019645556.1	Primary Assembly	8280	na
Contig6883	unplaced-scaffold	na	na	PJAA01002569.1	=	NW_019645557.1	Primary Assembly	4349	na
Contig6884	unplaced-scaffold	na	na	PJAA01002570.1	=	NW_019645558.1	Primary Assembly	6013	na
Contig6885	unplaced-scaffold	na	na	PJAA01002571.1	=	NW_019645559.1	Primary Assembly	4960	na
Contig6886	unplaced-scaffold	na	na	PJAA01002572.1	=	NW_019645560.1	Primary Assembly	6644	na
Contig6887	unplaced-scaffold	na	na	PJAA01002573.1	=	NW_019645561.1	Primary Assembly	5352	na
Contig6888	unplaced-scaffold	na	na	PJAA01002574.1	=	NW_019645562.1	Primary Assembly	4556	na
Contig6890	unplaced-scaffold	na	na	PJAA01002575.1	=	NW_019645564.1	Primary Assembly	6053	na
Contig6891	unplaced-scaffold	na	na	PJAA01002576.1	=	NW_019645565.1	Primary Assembly	3344	na
Contig6893	unplaced-scaffold	na	na	PJAA01002577.1	=	NW_019645567.1	Primary Assembly	7791	na
Contig6894	unplaced-scaffold	na	na	PJAA01002578.1	=	NW_019645568.1	Primary Assembly	5459	na
Contig6897	unplaced-scaffold	na	na	PJAA01002579.1	=	NW_019645569.1	Primary Assembly	10179	na
Contig6898	unplaced-scaffold	na	na	PJAA01002580.1	=	NW_019645571.1	Primary Assembly	5492	na
Contig6899	unplaced-scaffold	na	na	PJAA01002581.1	=	NW_019645572.1	Primary Assembly	5671	na
Contig6900	unplaced-scaffold	na	na	PJAA01002582.1	=	NW_019645575.1	Primary Assembly	5778	na
Contig6901	unplaced-scaffold	na	na	PJAA01002583.1	=	NW_019645576.1	Primary Assembly	23638	na
Contig6904	unplaced-scaffold	na	na	PJAA01002584.1	=	NW_019645577.1	Primary Assembly	154340	na
Contig6905	unplaced-scaffold	na	na	PJAA01002585.1	=	NW_019645578.1	Primary Assembly	5379	na
Contig6906	unplaced-scaffold	na	na	PJAA01002586.1	=	NW_019645579.1	Primary Assembly	5180	na
Contig6907	unplaced-scaffold	na	na	PJAA01002587.1	=	NW_019645580.1	Primary Assembly	5197	na
Contig6908	unplaced-scaffold	na	na	PJAA01002588.1	=	NW_019645582.1	Primary Assembly	6319	na
Contig6909	unplaced-scaffold	na	na	PJAA01002589.1	=	NW_019645583.1	Primary Assembly	5358	na
Contig6910	unplaced-scaffold	na	na	PJAA01002590.1	=	NW_019645584.1	Primary Assembly	5428	na
Contig6914	unplaced-scaffold	na	na	PJAA01002591.1	=	NW_019645586.1	Primary Assembly	7127	na
Contig6915	unplaced-scaffold	na	na	PJAA01002592.1	=	NW_019645588.1	Primary Assembly	8649	na
Contig6916	unplaced-scaffold	na	na	PJAA01002593.1	=	NW_019645589.1	Primary Assembly	8960	na
Contig6917	unplaced-scaffold	na	na	PJAA01002594.1	=	NW_019645590.1	Primary Assembly	5358	na
Contig6920	unplaced-scaffold	na	na	PJAA01002595.1	=	NW_019645593.1	Primary Assembly	4206	na
Contig6921	unplaced-scaffold	na	na	PJAA01002596.1	=	NW_019645594.1	Primary Assembly	5660	na
Contig6922	unplaced-scaffold	na	na	PJAA01002597.1	=	NW_019645596.1	Primary Assembly	5004	na
Contig6923	unplaced-scaffold	na	na	PJAA01002598.1	=	NW_019645597.1	Primary Assembly	5430	na
Contig6924	unplaced-scaffold	na	na	PJAA01002599.1	=	NW_019645598.1	Primary Assembly	16593	na
Contig6925	unplaced-scaffold	na	na	PJAA01002600.1	=	NW_019645600.1	Primary Assembly	5647	na
Contig6927	unplaced-scaffold	na	na	PJAA01002601.1	=	NW_019645601.1	Primary Assembly	4877	na
Contig6928	unplaced-scaffold	na	na	PJAA01002602.1	=	NW_019645603.1	Primary Assembly	10853	na
Contig6929	unplaced-scaffold	na	na	PJAA01002603.1	=	NW_019645605.1	Primary Assembly	11581	na
Contig6931	unplaced-scaffold	na	na	PJAA01002604.1	=	NW_019645608.1	Primary Assembly	17939	na
Contig6932	unplaced-scaffold	na	na	PJAA01002605.1	=	NW_019645609.1	Primary Assembly	5992	na
Contig6933	unplaced-scaffold	na	na	PJAA01002606.1	=	NW_019645610.1	Primary Assembly	5007	na
Contig6934	unplaced-scaffold	na	na	PJAA01002607.1	=	NW_019645611.1	Primary Assembly	5679	na
Contig6935	unplaced-scaffold	na	na	PJAA01002608.1	=	NW_019645612.1	Primary Assembly	9599	na
Contig6936	unplaced-scaffold	na	na	PJAA01002609.1	=	NW_019645613.1	Primary Assembly	10760	na
Contig6937	unplaced-scaffold	na	na	PJAA01002610.1	=	NW_019645614.1	Primary Assembly	3172	na
Contig6938	unplaced-scaffold	na	na	PJAA01002611.1	=	NW_019645615.1	Primary Assembly	5243	na
Contig6939	unplaced-scaffold	na	na	PJAA01002612.1	=	NW_019645616.1	Primary Assembly	5569	na
Contig6942	unplaced-scaffold	na	na	PJAA01002613.1	=	NW_019645617.1	Primary Assembly	6646	na
Contig6943	unplaced-scaffold	na	na	PJAA01002614.1	=	NW_019645618.1	Primary Assembly	9587	na
Contig6944	unplaced-scaffold	na	na	PJAA01002615.1	=	NW_019645619.1	Primary Assembly	5557	na
Contig6947	unplaced-scaffold	na	na	PJAA01002616.1	=	NW_019645620.1	Primary Assembly	5057	na
Contig6950	unplaced-scaffold	na	na	PJAA01002617.1	=	NW_019645623.1	Primary Assembly	5360	na
Contig6951	unplaced-scaffold	na	na	PJAA01002618.1	=	NW_019645624.1	Primary Assembly	5400	na
Contig6952	unplaced-scaffold	na	na	PJAA01002619.1	=	NW_019645625.1	Primary Assembly	7136	na
Contig6953	unplaced-scaffold	na	na	PJAA01002620.1	=	NW_019645627.1	Primary Assembly	5523	na
Contig6954	unplaced-scaffold	na	na	PJAA01002621.1	=	NW_019645628.1	Primary Assembly	24334	na
Contig6955	unplaced-scaffold	na	na	PJAA01002622.1	=	NW_019645629.1	Primary Assembly	5585	na
Contig6957	unplaced-scaffold	na	na	PJAA01002623.1	=	NW_019645630.1	Primary Assembly	10351	na
Contig6958	unplaced-scaffold	na	na	PJAA01002624.1	=	NW_019645631.1	Primary Assembly	5112	na
Contig6959	unplaced-scaffold	na	na	PJAA01002625.1	=	NW_019645632.1	Primary Assembly	5781	na
Contig6960	unplaced-scaffold	na	na	PJAA01002626.1	=	NW_019645634.1	Primary Assembly	6308	na
Contig6961	unplaced-scaffold	na	na	PJAA01002627.1	=	NW_019645635.1	Primary Assembly	7256	na
Contig6964	unplaced-scaffold	na	na	PJAA01002628.1	=	NW_019645637.1	Primary Assembly	6349	na
Contig6965	unplaced-scaffold	na	na	PJAA01002629.1	=	NW_019645638.1	Primary Assembly	5062	na
Contig6966	unplaced-scaffold	na	na	PJAA01002630.1	=	NW_019645640.1	Primary Assembly	9883	na
Contig6967	unplaced-scaffold	na	na	PJAA01002631.1	=	NW_019645641.1	Primary Assembly	6527	na
Contig6968	unplaced-scaffold	na	na	PJAA01002632.1	=	NW_019645642.1	Primary Assembly	6465	na
Contig6969	unplaced-scaffold	na	na	PJAA01002633.1	=	NW_019645643.1	Primary Assembly	6000	na
Contig6970	unplaced-scaffold	na	na	PJAA01002634.1	=	NW_019645645.1	Primary Assembly	4884	na
Contig6971	unplaced-scaffold	na	na	PJAA01002635.1	=	NW_019645646.1	Primary Assembly	5416	na
Contig6972	unplaced-scaffold	na	na	PJAA01002636.1	=	NW_019645648.1	Primary Assembly	5843	na
Contig6973	unplaced-scaffold	na	na	PJAA01002637.1	=	NW_019645649.1	Primary Assembly	6887	na
Contig6974	unplaced-scaffold	na	na	PJAA01002638.1	=	NW_019645650.1	Primary Assembly	8397	na
Contig6976	unplaced-scaffold	na	na	PJAA01002639.1	=	NW_019645652.1	Primary Assembly	9694	na
Contig6977	unplaced-scaffold	na	na	PJAA01002640.1	=	NW_019645655.1	Primary Assembly	14967	na
Contig6978	unplaced-scaffold	na	na	PJAA01002641.1	=	NW_019645656.1	Primary Assembly	10003	na
Contig6979	unplaced-scaffold	na	na	PJAA01002642.1	=	NW_019645657.1	Primary Assembly	8074	na
Contig6981	unplaced-scaffold	na	na	PJAA01002643.1	=	NW_019645658.1	Primary Assembly	6132	na
Contig6982	unplaced-scaffold	na	na	PJAA01002644.1	=	NW_019645659.1	Primary Assembly	8529	na
Contig6985	unplaced-scaffold	na	na	PJAA01002645.1	=	NW_019645661.1	Primary Assembly	7243	na
Contig6988	unplaced-scaffold	na	na	PJAA01002646.1	=	NW_019645663.1	Primary Assembly	5144	na
Contig6989	unplaced-scaffold	na	na	PJAA01002647.1	=	NW_019645664.1	Primary Assembly	5702	na
Contig6990	unplaced-scaffold	na	na	PJAA01002648.1	=	NW_019645666.1	Primary Assembly	5989	na
Contig6991	unplaced-scaffold	na	na	PJAA01002649.1	=	NW_019645667.1	Primary Assembly	6312	na
Contig6992	unplaced-scaffold	na	na	PJAA01002650.1	=	NW_019645669.1	Primary Assembly	11791	na
Contig6993	unplaced-scaffold	na	na	PJAA01002651.1	=	NW_019645670.1	Primary Assembly	5971	na
Contig6994	unplaced-scaffold	na	na	PJAA01002652.1	=	NW_019645671.1	Primary Assembly	6034	na
Contig6995	unplaced-scaffold	na	na	PJAA01002653.1	=	NW_019645672.1	Primary Assembly	6399	na
